Run,Assay Type,BioProject,BioSample,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,Alias,ENA_CHECKLIST,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,sample_name,SRA_accession,title,AvgSpotLen,Bases,Bytes,INSDC_center_alias,AssemblyName,sex,Description,dangling_references (run),ENA-FIRST-PUBLIC,ENA-LAST-UPDATE
ERR988478,WGS,PRJEB10532,SAMEA3514283,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2015-09-17,2018-11-16,ERX1069736,Illumina HiSeq 2500,ABC9926_Y2_gold_LigA_6M,SINGLE,RANDOM,GENOMIC,Equus ferus,ILLUMINA,2015-09-22T00:00:00Z,SAMEA3514283,ERP011795,ABC9779_11850,ERC000011,CENTRE FOR GEOGENETICS,2015-09-17T17:02:10Z,2015-08-24T17:22:46Z,public,ERS821432,ERS821432,ABC9779_11850,101,606000000,266569024,,,,"CGG_1_011850 YT03 / 40 / ABC9779 Equus ferus Irish Gulch Central Alaska\, USA",,,
ERR988479,WGS,PRJEB10532,SAMEA3514285,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2015-09-17,2018-11-16,ERX1069737,Illumina HiSeq 2500,CDM4_D1_gold_LigA_6M,SINGLE,RANDOM,GENOMIC,Hippidion saldiasi,ILLUMINA,2015-09-22T00:00:00Z,SAMEA3514285,ERP011795,CDM4,ERC000011,CENTRE FOR GEOGENETICS,2015-09-17T17:02:10Z,2015-08-24T17:22:47Z,public,ERS821434,ERS821434,CDM4,101,606000000,300142731,,,,"CGG_1_017438 CDM4 Hippidion saldiasi Cueva del Milodón Magallanes\, Southern Chile",,,
ERR988480,WGS,PRJEB10532,SAMEA3514287,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2015-09-17,2018-11-16,ERX1069738,Illumina HiSeq 2500,838-64_S2_gold_LigA_6M,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2015-09-22T00:00:00Z,SAMEA3514287,ERP011795,838-64_NB46,ERC000011,CENTRE FOR GEOGENETICS,2015-09-17T17:02:10Z,2015-08-24T17:22:47Z,public,ERS821436,ERS821436,838-64_NB46,101,606000000,303247517,,,,"CGG_1_017038 838-64 Equus caballus Botay Chelyabinsk region\, Southwestern Russia",,,
ERR988482,WGS,PRJEB10532,SAMEA3514283,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2015-09-17,2018-11-16,ERX1069740,Illumina HiSeq 2500,ABC9926_S1_gold_LigA_6M,SINGLE,RANDOM,GENOMIC,Equus ferus,ILLUMINA,2015-09-22T00:00:00Z,SAMEA3514283,ERP011795,ABC9779_11850,ERC000011,CENTRE FOR GEOGENETICS,2015-09-17T17:02:10Z,2015-08-24T17:22:46Z,public,ERS821432,ERS821432,ABC9779_11850,101,407174632,177393565,,,,"CGG_1_011850 YT03 / 40 / ABC9779 Equus ferus Irish Gulch Central Alaska\, USA",,,
ERR988483,WGS,PRJEB10532,SAMEA3514283,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2015-09-17,2018-11-16,ERX1069741,Illumina HiSeq 2500,ABC9926_S1_gold_LigA_6M,SINGLE,RANDOM,GENOMIC,Equus ferus,ILLUMINA,2015-09-22T00:00:00Z,SAMEA3514283,ERP011795,ABC9779_11850,ERC000011,CENTRE FOR GEOGENETICS,2015-09-17T17:02:10Z,2015-08-24T17:22:46Z,public,ERS821432,ERS821432,ABC9779_11850,101,606000000,274274712,,,,"CGG_1_011850 YT03 / 40 / ABC9779 Equus ferus Irish Gulch Central Alaska\, USA",,,
ERR988485,WGS,PRJEB10532,SAMEA3514285,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2015-09-17,2018-11-16,ERX1069743,Illumina HiSeq 2500,CDM4_D1_gold_LigB_6M,SINGLE,RANDOM,GENOMIC,Hippidion saldiasi,ILLUMINA,2015-09-22T00:00:00Z,SAMEA3514285,ERP011795,CDM4,ERC000011,CENTRE FOR GEOGENETICS,2015-09-17T17:02:10Z,2015-08-24T17:22:47Z,public,ERS821434,ERS821434,CDM4,101,606000000,258914369,,,,"CGG_1_017438 CDM4 Hippidion saldiasi Cueva del Milodón Magallanes\, Southern Chile",,,
ERR988487,WGS,PRJEB10532,SAMEA3514285,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2015-09-17,2018-11-16,ERX1069745,Illumina HiSeq 2500,CDM4_Y1_gold_LigA_6M,SINGLE,RANDOM,GENOMIC,Hippidion saldiasi,ILLUMINA,2015-09-22T00:00:00Z,SAMEA3514285,ERP011795,CDM4,ERC000011,CENTRE FOR GEOGENETICS,2015-09-17T17:02:10Z,2015-08-24T17:22:47Z,public,ERS821434,ERS821434,CDM4,101,606000000,259965235,,,,"CGG_1_017438 CDM4 Hippidion saldiasi Cueva del Milodón Magallanes\, Southern Chile",,,
ERR988490,WGS,PRJEB10532,SAMEA3514284,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2015-09-17,2018-11-16,ERX1069748,Illumina HiSeq 2500,ABC9779_S1_gold_LigA_6M,SINGLE,RANDOM,GENOMIC,Equus ferus,ILLUMINA,2015-09-22T00:00:00Z,SAMEA3514284,ERP011795,ABC9926_11849,ERC000011,CENTRE FOR GEOGENETICS,2015-09-17T17:02:10Z,2015-08-24T17:22:46Z,public,ERS821433,ERS821433,ABC9926_11849,101,606000000,269092995,,,,"CGG_1_011849 YT03 / 185 / ABC9926 Equus ferus Irish Gulch Central Alaska\, USA",,,
ERR988492,WGS,PRJEB10532,SAMEA3514284,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2015-09-17,2018-11-16,ERX1069750,Illumina HiSeq 2500,ABC9779_Y1_gold_LigA_6M,SINGLE,RANDOM,GENOMIC,Equus ferus,ILLUMINA,2015-09-22T00:00:00Z,SAMEA3514284,ERP011795,ABC9926_11849,ERC000011,CENTRE FOR GEOGENETICS,2015-09-17T17:02:10Z,2015-08-24T17:22:46Z,public,ERS821433,ERS821433,ABC9926_11849,101,606000000,297509119,,,,"CGG_1_011849 YT03 / 185 / ABC9926 Equus ferus Irish Gulch Central Alaska\, USA",,,
ERR988494,WGS,PRJEB10532,SAMEA3514285,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2015-09-17,2018-11-16,ERX1069752,Illumina HiSeq 2500,CDM4_D2_gold_LigB_6M,SINGLE,RANDOM,GENOMIC,Hippidion saldiasi,ILLUMINA,2015-09-22T00:00:00Z,SAMEA3514285,ERP011795,CDM4,ERC000011,CENTRE FOR GEOGENETICS,2015-09-17T17:02:10Z,2015-08-24T17:22:47Z,public,ERS821434,ERS821434,CDM4,101,606000000,269313615,,,,"CGG_1_017438 CDM4 Hippidion saldiasi Cueva del Milodón Magallanes\, Southern Chile",,,
