Run,Assay Type,BioSample,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,BioProject,AvgSpotLen,Bases,Bytes,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),Alias,ENA_CHECKLIST,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,sample_name,SRA_accession,title,sex,isolate,INSDC_center_alias,AssemblyName,Description,Breed,tissue,BioSampleModel,dev_stage,label,Age,Biomaterial_provider,strain,disease,ENA-FIRST-PUBLIC,ENA-LAST-UPDATE,phenotype,body_site,isolation-source,collection_date,Cultivar,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,instrument_model (run),Isolation_source
SRR488213,WGS,SAMN00857893,UPPSALA UNIVERSITY,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX142889,Illumina HiSeq 2000,Sample1_lib1,PAIRED,unspecified,GENOMIC,Equus caballus,ILLUMINA,2012-07-31T00:00:00Z,FI-9,SRP012260,,202,14122674,9006460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR488214,WGS,SAMN00857894,UPPSALA UNIVERSITY,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX142890,Illumina HiSeq 2000,Sample2_lib1,PAIRED,unspecified,GENOMIC,Equus caballus,ILLUMINA,2012-07-31T00:00:00Z,P5782,SRP012260,,193,15673239,10124620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1275408,WGS,SAMN02767683,GENOME RESEARCH FOUNDATION,public,sra,ncbi,ncbi.public,SRX535352,Illumina HiSeq 2000,,PAIRED,RANDOM,GENOMIC,Equus ferus,ILLUMINA,2014-05-17T00:00:00Z,PGI-MARWARI-WGS,SRP041785,PRJNA246445,200,102434282600,73709356585,,,,,,,,,,,,male,,,,,Marwari,Blood,Model organism or animal,,,17,India,,,,,,,,,,,,,,
ERR868003,WGS,SAMEA3367609,"INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERX947604,Illumina HiSeq 2000,SPH041-LIB,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2015-05-04T00:00:00Z,SAMEA3367609,ERP010352,PRJEB9267,202,60202062424,15761280134,2015-05-03,2018-11-16,SPH041,ERC000011,UNIBE-IG,2015-05-03T17:04:29Z,2015-04-30T11:22:57Z,public,ERS715261,ERS715261,A non-synonymous HMGA2 variant decreases height in Shetland ponies and other small horses,,,,EquCab2.0,,,,,,,,,,,,,,,,,,,,,,
ERR868004,WGS,SAMEA3367610,"INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERX947605,Illumina HiSeq 2000,SPH020-LIB,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2015-05-04T00:00:00Z,SAMEA3367610,ERP010354,PRJEB9269,202,65965628434,17175952954,2015-05-03,2018-11-16,SPH020,ERC000011,UNIBE-IG,2015-05-03T17:04:29Z,2015-04-30T12:11:00Z,public,ERS715262,ERS715262,A non-synonymous HMGA2 variant decreases height in Shetland ponies and other small horses,,,,EquCab2.0,,,,,,,,,,,,,,,,,,,,,,
ERR863167,WGS,SAMEA3355589,UNIBE-IG,public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERX942817,Illumina HiSeq 2000,IS074-LIB,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2015-06-26T00:00:00Z,SAMEA3355589,ERP010217,PRJEB9139,202,27224775028,11326364986,2015-04-21,2018-11-16,ISO74,ERC000011,UNIBE-IG,2015-04-21T17:02:01Z,2015-04-21T10:40:20Z,public,ERS709890,ERS709890,A novel KIT variant in an Icelandic horse with white spotted coat colour,,,,EquCab2.0,,,,,,,,,,,,,,,,,,,,,,
ERR466186,WGS,SAMEA2421738,UNIBE-IG,public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERX432422,Illumina HiSeq 2000,FM2001-Lib,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2014-05-14T00:00:00Z,SAMEA2421738,ERP005387,PRJEB5942,202,23688170744,12281106751,2014-03-29,2018-11-16,FM2001,ERC000011,"Institute of Genetics, University of Bern, Switzerland",2014-03-29T17:00:39Z,2014-03-21T11:01:43Z,public,ERS426822,ERS426822,Whole genome sequencing of Franches-Montagnes horse,,,UNIBE-IG,GCF_000002305.2,,,,,,,,,,,,,,,,,,,,,,
ERR1512897,WGS,SAMEA4059124,"INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERX1583924,Illumina HiSeq 2500,AS002-LIB,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2016-07-01T00:00:00Z,SAMEA4059124,ERP016307,PRJEB14651,299,59522214614,18760392825,2016-06-30,2018-11-16,AS002,ERC000011,UNIBE-IG,2016-06-30T17:01:23Z,2016-06-30T15:11:51Z,public,ERS1230234,ERS1230234,A novel MITF variant in a white American Standardbred foal,,,,GCA_000002305.1,,,,,,,,,,,,,,,,,,,,,,
SRR641366,WGS,SAMN01880951,SEOUL NATIONAL UNIVERSITY,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX213149,Illumina HiSeq 2000,,PAIRED,PCR,GENOMIC,Equus caballus,ILLUMINA,2015-07-22T00:00:00Z,3,SRP017702,PRJNA184688,180,26706899160,18512359759,,,,,,,,,,,,male,,,,,Thoroughbred,,,,,2001.05.08,,,,,,,carotid artery,blood,,,,,,,
SRR641367,WGS,SAMN01880952,SEOUL NATIONAL UNIVERSITY,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX213150,Illumina HiSeq 2000,,PAIRED,PCR,GENOMIC,Equus caballus,ILLUMINA,2015-07-22T00:00:00Z,4,SRP017702,PRJNA184688,180,25450644420,17579594828,,,,,,,,,,,,female,,,,,Thoroughbred,carotid artery,,,,2005.04.27,,,,,,,,,,,,,,,blood
SRR2142269,WGS,SAMN03952758,INSTITUTE FOR ANIMAL BREEDING AND GENETICS,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1131785,Illumina HiSeq 1000,,PAIRED,other,GENOMIC,Equus caballus,ILLUMINA,2016-01-01T00:00:00Z,NGSHORSE007,SRP061963,PRJNA291776,202,32174618378,23736469034,,,,,,,,,,,,male,,,,,Hanoverian,blood sample,Model organism or animal,not applicaple,,,,,,,,,,,,,,,,,
SRR2142313,WGS,SAMN03955413,INSTITUTE FOR ANIMAL BREEDING AND GENETICS,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1131820,Illumina MiSeq,,PAIRED,other,GENOMIC,Equus caballus,ILLUMINA,2016-01-01T00:00:00Z,NGSHORSE016,SRP061963,PRJNA291776,489,34426296100,20276206854,,,,,,,,,,,,female,,,,,Sorraia,blood sample,Model organism or animal,not applicable,,,,,,,,,,,,,,,,,
SRR5131681,WGS,SAMN06028168,INSTITUTE OF ANIMAL BREEDING AND GENETICS - VETMEDUNI VIENNA,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2445498,Illumina HiSeq 2000,Lip166,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2017-05-01T00:00:00Z,Lip166,SRP095685,PRJNA357976,180,53713176300,38303131624,,,,,,,,,,,,female,Lip166,,,,Lipizzan,Blood,Model organism or animal,adult,,,,,,,,,,,,,,,,,
SRR1790681,WGS,SAMN03291459,UNIVERSITY OF CALIFORNIA DAVIS,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX850672,Illumina HiSeq 2000,,PAIRED,unspecified,GENOMIC,Equus caballus,ILLUMINA,2015-03-17T00:00:00Z,Con26,SRP052751,PRJNA273402,201,15604913562,10286392520,,,,,,,,,,,,female,,,,,Connemara,whole blood,Model organism or animal,adult,,,,,Hoof Wall Separation Disease,,,Affected,,,,,,,,,
SRR641364,WGS,SAMN01880950,SEOUL NATIONAL UNIVERSITY,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX213147,Illumina HiSeq 2000,,PAIRED,PCR,GENOMIC,Equus caballus,ILLUMINA,2015-07-22T00:00:00Z,2,SRP017702,PRJNA184688,180,27182180700,18786818513,,,,,,,,,,,,male,,,,,Thoroughbred,,,,,2006.06.05,,,,,,,carotid artery,blood,,,,,,,
SRR641365,WGS,SAMN01880949,SEOUL NATIONAL UNIVERSITY,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX213148,Illumina HiSeq 2000,,PAIRED,PCR,GENOMIC,Equus caballus,ILLUMINA,2015-07-22T00:00:00Z,1,SRP017702,PRJNA184688,180,28284693120,19398889894,,,,,,,,,,,,male,,,,,Thoroughbred,,,,,2002.03.24,,,,,,,carotid artery,blood,,,,,,,
SRR2142163,WGS,SAMN03952747,INSTITUTE FOR ANIMAL BREEDING AND GENETICS,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1131705,Illumina HiSeq 2000,,PAIRED,other,GENOMIC,Equus caballus,ILLUMINA,2016-01-01T00:00:00Z,NGSHORSE006,SRP061963,PRJNA291776,202,30580128146,22506250323,,,,,,,,,,,,male,,,,,Hanoverian,blood sample,Model organism or animal,not applicaple,,,,,,,,,,,,,,,,,
SRR2142311,WGS,SAMN03955412,INSTITUTE FOR ANIMAL BREEDING AND GENETICS,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1131818,Illumina MiSeq,,PAIRED,other,GENOMIC,Equus caballus,ILLUMINA,2016-01-01T00:00:00Z,NGSHORSE015,SRP061963,PRJNA291776,494,39381485616,24346321774,,,,,,,,,,,,male,,,,,Saxon-Thuringian Heavy Warmblood,blood sample,Model organism or animal,not applicable,,,,,,,,,,,,,,,,,
SRR1769892,WGS,SAMN03291441,UNIVERSITY OF CALIFORNIA DAVIS,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX850676,Illumina HiSeq 2000,,PAIRED,unspecified,GENOMIC,Equus caballus,ILLUMINA,2015-03-17T00:00:00Z,Con3,SRP052751,PRJNA273402,201,16081607974,10520557545,,,,,,,,,,,,male,,,,,Connemara,whole blood,Model organism or animal,Adult,,,,Connemara,Hoof Wall Separation Disease,,,Affected,,,,Connemara,,,,,
SRR1769893,WGS,SAMN03291442,UNIVERSITY OF CALIFORNIA DAVIS,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX850674,Illumina HiSeq 2000,,PAIRED,unspecified,GENOMIC,Equus caballus,ILLUMINA,2015-03-17T00:00:00Z,Con15,SRP052751,PRJNA273402,201,16318114932,10657068214,,,,,,,,,,,,male,,,,,Connemara,whole blood,Model organism or animal,Adult,,,,,Unaffected,,,Unaffected,,,,,,,,,
SRR1769922,WGS,SAMN03291461,UNIVERSITY OF CALIFORNIA DAVIS,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX850675,Illumina HiSeq 2000,,PAIRED,unspecified,GENOMIC,Equus caballus,ILLUMINA,2015-03-17T00:00:00Z,Con40,SRP052751,PRJNA273402,201,15704614240,10290240002,,,,,,,,,,,,female,,,,,Connemara,whole blood,Model organism or animal,adult,,,,,healthy control,,,control,,,,,,,,,
SRR5131680,WGS,SAMN06017259,INSTITUTE OF ANIMAL BREEDING AND GENETICS - VETMEDUNI VIENNA,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2445497,Illumina HiSeq 2000,Lipp169,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2017-05-01T00:00:00Z,Lip169,SRP095685,PRJNA357976,180,58010441220,42847913662,,,,,,,,,,,,male,Lip169,,,,Lipizzan,Blood,Model organism or animal,Adult,,,,,,,,,,,,,,,,,
SRR5131682,WGS,SAMN06017257,INSTITUTE OF ANIMAL BREEDING AND GENETICS - VETMEDUNI VIENNA,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2445499,Illumina HiSeq 2000,Lipp111,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2017-05-01T00:00:00Z,Lip111,SRP095685,PRJNA357976,180,57080180340,41014066617,,,,,,,,,,,,male,Lip111,,,,Lipizzan,Blood,Model organism or animal,Adult,,,,,,,,,,,,,,,,,
SRR5131683,WGS,SAMN06017258,INSTITUTE OF ANIMAL BREEDING AND GENETICS - VETMEDUNI VIENNA,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2445500,Illumina HiSeq 2000,Lipp113,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2017-05-01T00:00:00Z,Lip113,SRP095685,PRJNA357976,180,58593017340,42568160923,,,,,,,,,,,,male,Lip113,,,,Lipizzan,Blood,Model organism or animal,Adult,,,,,,,,,,,,,,,,,
SRR1046129,WGS,SAMN02439777,INSTITUTE FOR ANIMAL BREEDING AND GENETICS,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX389472,Illumina HiSeq 2000,,PAIRED,other,GENOMIC,Equus caballus,ILLUMINA,2014-09-12T00:00:00Z,NGSHORSE002,SRP033361,PRJNA230019,200,38562208800,26916708480,,,,,,,,,,,,,,,,,Arabian,,,,,,,,,,,,,,,,,,,,
SRR1046135,WGS,SAMN02439778,INSTITUTE FOR ANIMAL BREEDING AND GENETICS,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX389475,Illumina HiSeq 2000,,PAIRED,other,GENOMIC,Equus caballus,ILLUMINA,2014-09-12T00:00:00Z,NGSHORSE003,SRP033361,PRJNA230019,200,35659610200,24197844076,,,,,,,,,,,,,,,,,Sorraia,,,,,,,,,,,,,,,,,,,,
SRR1046147,WGS,SAMN02439779,INSTITUTE FOR ANIMAL BREEDING AND GENETICS,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX389477,Illumina HiSeq 2000,,PAIRED,other,GENOMIC,Equus caballus,ILLUMINA,2014-09-12T00:00:00Z,NGSHORSE004,SRP033361,PRJNA230019,200,71735179800,48895511392,,,,,,,,,,,,,,,,,Hanoverian,,,,,,,,,,,,,,,,,,,,
SRR1046151,WGS,SAMN02439782,INSTITUTE FOR ANIMAL BREEDING AND GENETICS,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX389480,Illumina HiSeq 2000,,PAIRED,other,GENOMIC,Equus caballus,ILLUMINA,2014-09-12T00:00:00Z,NGSHORSE005,SRP033361,PRJNA230019,200,31659132400,20910809843,,,,,,,,,,,,,,,,,Hanoverian,,,,HAN2,,,,,,,,,,,,,,,,
SRR1048526,WGS,SAMN02422919,INSTITUTE FOR ANIMAL BREEDING AND GENETICS,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX384479,Illumina HiSeq 2000,,PAIRED,other,GENOMIC,Equus caballus,ILLUMINA,2014-09-12T00:00:00Z,NGSHORSE001,SRP033361,PRJNA230019,200,40088641800,28496701025,,,,,,,,,,,,female,,,,,duelmener,,,,,,,,,,,,,,2012,,Germany,Europe,Germany,,
ERR1305961,WGS,SAMEA3889830,"INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERX1377584,Illumina HiSeq 2500,UKH4-LIB,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2016-05-09T00:00:00Z,SAMEA3889830,ERP014514,PRJEB12979,202,51103178666,25528588624,2016-05-08,2018-11-16,UKH4,ERC000011,UNIBE-IG,2016-05-08T17:12:41Z,2016-03-09T08:46:58Z,public,ERS1076964,ERS1076964,An intronic MBTPS2 variant results in a splicing defect in horses with brindle coat texture,,,,GCA_000002305.1,,,,,,,,,,,,,,,,,,,,,,
ERR1305962,WGS,SAMEA3889831,"INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERX1377585,Illumina HiSeq 2500,UKH11-LIB,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2016-05-09T00:00:00Z,SAMEA3889831,ERP014514,PRJEB12979,252,29619597924,7450884508,2016-05-08,2018-11-16,UKH11,ERC000011,UNIBE-IG,2016-05-08T17:12:41Z,2016-03-09T08:46:58Z,public,ERS1076965,ERS1076965,An intronic MBTPS2 variant results in a splicing defect in horses with brindle coat texture,,,,GCA_000002305.1,,,,,,,,,,,,,,,,,,,,,,
ERR1305963,WGS,SAMEA3889832,"INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERX1377586,Illumina HiSeq 2500,UKH16-LIB,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2016-05-09T00:00:00Z,SAMEA3889832,ERP014514,PRJEB12979,252,56463242724,15289805173,2016-05-08,2018-11-16,UKH16,ERC000011,UNIBE-IG,2016-05-08T17:12:41Z,2016-03-09T08:46:58Z,public,ERS1076966,ERS1076966,An intronic MBTPS2 variant results in a splicing defect in horses with brindle coat texture,,,,GCA_000002305.1,,,,,,,,,,,,,,,,,,,,,,
ERR1305964,WGS,SAMEA3889833,"INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERX1377587,Illumina HiSeq 2500,UKH29-LIB,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2016-05-09T00:00:00Z,SAMEA3889833,ERP014514,PRJEB12979,252,41396425560,10035868804,2016-05-08,2018-11-16,UKH29,ERC000011,UNIBE-IG,2016-05-08T17:12:41Z,2016-03-09T08:46:58Z,public,ERS1076967,ERS1076967,An intronic MBTPS2 variant results in a splicing defect in horses with brindle coat texture,,,,GCA_000002305.1,,,,,,,,,,,,,,,,,,,,,,
ERR953404,WGS,SAMEA3475186,UNIVERSITY OF FLORIDA,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERX1032467,Illumina HiSeq 2500,unspecified,PAIRED,unspecified,GENOMIC,Equus caballus,ILLUMINA,2016-09-28T00:00:00Z,SAMEA3475186,ERP010944,PRJEB9799,200,64824676800,40849804161,2016-09-01,2018-11-16,American Miniature Horse,ERC000011,UNIVERSITY OF FLORIDA,2016-09-01T17:01:09Z,2015-08-14T15:53:18Z,public,ERS786318,ERS786318,American Miniature Horse,,,,,American Miniature Horse NGS Paired end fastq files,,,,,,,,,,,,,,,,,,,,Illumina HiSeq 2000,
ERR953411,WGS,SAMEA3475276,UNIVERSITY OF FLORIDA,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERX1032474,Illumina HiSeq 2500,unspecified,PAIRED,unspecified,GENOMIC,Equus caballus,ILLUMINA,2016-09-28T00:00:00Z,SAMEA3475276,ERP010944,PRJEB9799,200,59292026600,40300295111,2016-09-01,2018-11-16,Percheron horse,ERC000011,UNIVERSITY OF FLORIDA,2016-09-01T17:01:08Z,2015-07-04T21:36:54Z,public,ERS786335,ERS786335,Percheron horse,,,,,Percheron horse NGS paired end fastq files.,,,,,,,,,,,,,,,,,,,,,
