acc,Alias,Assay Type,BioProject,BioSample,Center Name,Consent,DATASTORE_filetype_ss,DATASTORE_provider_ss,DATASTORE_region_ss,ENA_CHECKLIST,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),Experiment,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,sample_acc,Sample Name,sample_name,sex,SRA_accession,SRA Study,title,AvgSpotLen,Bases,Bytes,MBases,MBytes,AssemblyName
ERR1021663,Yak1,WGS,PRJEB10854,SAMEA3542237,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-11-23,2018-11-16,ERX1100597,CENTRE FOR GEOGENETICS,2015-11-23T17:01:15Z,2015-09-18T11:27:44Z,public,Illumina HiSeq 2000,Yak1_1,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2015-11-24T00:00:00Z,ERS849386,SAMEA3542237,ERS849386,male,ERS849386,ERP012152,Yakutian horse,196,1395603496,871477743,1395,831,
ERR1021664,Yak1,WGS,PRJEB10854,SAMEA3542237,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-11-23,2018-11-16,ERX1100598,CENTRE FOR GEOGENETICS,2015-11-23T17:01:15Z,2015-09-18T11:27:44Z,public,Illumina HiSeq 2500,Yak1_1,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2015-11-24T00:00:00Z,ERS849386,SAMEA3542237,ERS849386,male,ERS849386,ERP012152,Yakutian horse,196,1664018048,979457186,1664,934,
ERR1021665,Yak1,WGS,PRJEB10854,SAMEA3542237,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-11-23,2018-11-16,ERX1100599,CENTRE FOR GEOGENETICS,2015-11-23T17:01:15Z,2015-09-18T11:27:44Z,public,Illumina HiSeq 2500,Yak1_1,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2015-11-24T00:00:00Z,ERS849386,SAMEA3542237,ERS849386,male,ERS849386,ERP012152,Yakutian horse,196,3747000012,2428868575,3747,2316,
ERR1021666,Yak1,WGS,PRJEB10854,SAMEA3542237,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-11-23,2018-11-16,ERX1100600,CENTRE FOR GEOGENETICS,2015-11-23T17:01:15Z,2015-09-18T11:27:44Z,public,Illumina HiSeq 2500,Yak1_1,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2015-11-24T00:00:00Z,ERS849386,SAMEA3542237,ERS849386,male,ERS849386,ERP012152,Yakutian horse,196,4326564760,3004296619,4326,2865,
ERR1021667,Yak1,WGS,PRJEB10854,SAMEA3542237,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-11-23,2018-11-16,ERX1100601,CENTRE FOR GEOGENETICS,2015-11-23T17:01:15Z,2015-09-18T11:27:44Z,public,Illumina HiSeq 2500,Yak1_1,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2015-11-24T00:00:00Z,ERS849386,SAMEA3542237,ERS849386,male,ERS849386,ERP012152,Yakutian horse,196,4254907160,2902566051,4254,2768,
ERR1021668,Yak1,WGS,PRJEB10854,SAMEA3542237,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-11-23,2018-11-16,ERX1100602,CENTRE FOR GEOGENETICS,2015-11-23T17:01:15Z,2015-09-18T11:27:44Z,public,Illumina HiSeq 2500,Yak1_1,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2015-11-24T00:00:00Z,ERS849386,SAMEA3542237,ERS849386,male,ERS849386,ERP012152,Yakutian horse,196,3518101216,2331539977,3518,2223,
ERR1021669,Yak1,WGS,PRJEB10854,SAMEA3542237,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-11-23,2018-11-16,ERX1100603,CENTRE FOR GEOGENETICS,2015-11-23T17:01:15Z,2015-09-18T11:27:44Z,public,Illumina HiSeq 2500,Yak1_1,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2015-11-24T00:00:00Z,ERS849386,SAMEA3542237,ERS849386,male,ERS849386,ERP012152,Yakutian horse,196,3934998116,2618256839,3934,2496,
ERR1021670,Yak1,WGS,PRJEB10854,SAMEA3542237,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-11-23,2018-11-16,ERX1100604,CENTRE FOR GEOGENETICS,2015-11-23T17:01:15Z,2015-09-18T11:27:44Z,public,Illumina HiSeq 2500,Yak1_1,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2015-11-24T00:00:00Z,ERS849386,SAMEA3542237,ERS849386,male,ERS849386,ERP012152,Yakutian horse,196,3451166236,2239690106,3451,2135,
ERR1021671,Yak1,WGS,PRJEB10854,SAMEA3542237,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-11-23,2018-11-16,ERX1100605,CENTRE FOR GEOGENETICS,2015-11-23T17:01:15Z,2015-09-18T11:27:44Z,public,Illumina HiSeq 2500,Yak1_1,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2015-11-24T00:00:00Z,ERS849386,SAMEA3542237,ERS849386,male,ERS849386,ERP012152,Yakutian horse,196,3977851360,2677995613,3977,2553,
ERR1021672,Yak1,WGS,PRJEB10854,SAMEA3542237,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-11-23,2018-11-16,ERX1100606,CENTRE FOR GEOGENETICS,2015-11-23T17:01:15Z,2015-09-18T11:27:44Z,public,Illumina HiSeq 2500,Yak1_1,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2015-11-24T00:00:00Z,ERS849386,SAMEA3542237,ERS849386,male,ERS849386,ERP012152,Yakutian horse,196,3491592804,2275909077,3491,2170,
