acc,Alias,Assay Type,BioProject,BioSample,Center Name,Consent,DATASTORE_filetype_ss,DATASTORE_provider_ss,DATASTORE_region_ss,ENA_CHECKLIST,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),Experiment,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,sample_acc,Sample Name,sample_name,SRA_accession,SRA Study,title,AvgSpotLen,Bases,Bytes,MBases,MBytes,INSDC_center_alias,Description
ERR1885459,BER01_A,WGS,PRJEB19970,SAMEA103910511,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2017-04-28,2018-11-16,ERX1945957,CENTRE FOR GEOGENETICS,2017-04-28T17:01:34Z,2017-03-13T14:18:17Z,public,Illumina HiSeq 2500,BER01_A_E16.1_user_TGTCTG,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2017-04-29T00:00:00Z,ERS1599679,SAMEA103910511,ERS1599679,ERS1599679,ERP022066,BEREL,101,1407577006,487561613,1407,464,CENTRE FOR GEOGENETICS,
ERR1885460,BER01_A,WGS,PRJEB19970,SAMEA103910511,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2017-04-28,2018-11-16,ERX1945958,CENTRE FOR GEOGENETICS,2017-04-28T17:01:34Z,2017-03-13T14:18:17Z,public,Illumina HiSeq 2500,BER01_A_E16.2_user_GACCGG,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2017-04-29T00:00:00Z,ERS1599679,SAMEA103910511,ERS1599679,ERS1599679,ERP022066,BEREL,101,994122396,439498223,994,419,CENTRE FOR GEOGENETICS,
ERR1885461,BER01_A,WGS,PRJEB19970,SAMEA103910511,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2017-04-28,2018-11-16,ERX1945959,CENTRE FOR GEOGENETICS,2017-04-28T17:01:34Z,2017-03-13T14:18:17Z,public,Illumina HiSeq 2500,BER01_A_E16.2_user_GACCGG,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2017-04-29T00:00:00Z,ERS1599679,SAMEA103910511,ERS1599679,ERS1599679,ERP022066,BEREL,101,4126930397,1976698118,4126,1885,CENTRE FOR GEOGENETICS,
ERR1885462,BER01_A,WGS,PRJEB19970,SAMEA103910511,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2017-04-28,2018-11-16,ERX1945960,CENTRE FOR GEOGENETICS,2017-04-28T17:01:34Z,2017-03-13T14:18:17Z,public,Illumina HiSeq 2500,BER01_A_E16.2_user_GACCGG,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2017-04-29T00:00:00Z,ERS1599679,SAMEA103910511,ERS1599679,ERS1599679,ERP022066,BEREL,101,1069488091,374633707,1069,357,CENTRE FOR GEOGENETICS,
ERR1885463,BER01_A,WGS,PRJEB19970,SAMEA103910511,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2017-04-28,2018-11-16,ERX1945961,CENTRE FOR GEOGENETICS,2017-04-28T17:01:34Z,2017-03-13T14:18:17Z,public,Illumina HiSeq 2500,BER01_A_E9.Dab2nd_NOuser_CTATCA,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2017-04-29T00:00:00Z,ERS1599679,SAMEA103910511,ERS1599679,ERS1599679,ERP022066,BEREL,94,1614619952,1108239758,1614,1056,CENTRE FOR GEOGENETICS,
ERR1885464,BER01_A,WGS,PRJEB19970,SAMEA103910511,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2017-04-28,2018-11-16,ERX1945962,CENTRE FOR GEOGENETICS,2017-04-28T17:01:34Z,2017-03-13T14:18:17Z,public,Illumina HiSeq 2500,BER01_A_SCY2.1_user_ACGCAT,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2017-04-29T00:00:00Z,ERS1599679,SAMEA103910511,ERS1599679,ERS1599679,ERP022066,BEREL,101,4420478110,2060591487,4420,1965,CENTRE FOR GEOGENETICS,
ERR1885465,BER01_A,WGS,PRJEB19970,SAMEA103910511,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2017-04-28,2018-11-16,ERX1945963,CENTRE FOR GEOGENETICS,2017-04-28T17:01:34Z,2017-03-13T14:18:17Z,public,Illumina HiSeq 2500,BER01_A_SCY2.1_user_ACGCAT,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2017-04-29T00:00:00Z,ERS1599679,SAMEA103910511,ERS1599679,ERS1599679,ERP022066,BEREL,101,13336879714,6145583295,13336,5860,CENTRE FOR GEOGENETICS,
ERR1885466,BER01_A,WGS,PRJEB19970,SAMEA103910511,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2017-04-28,2018-11-16,ERX1945964,CENTRE FOR GEOGENETICS,2017-04-28T17:01:34Z,2017-03-13T14:18:17Z,public,Illumina HiSeq 2500,BER01_A_SCY2.1_user_ACGCAT,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2017-04-29T00:00:00Z,ERS1599679,SAMEA103910511,ERS1599679,ERS1599679,ERP022066,BEREL,101,1846894080,808404696,1846,770,CENTRE FOR GEOGENETICS,
ERR1885467,BER01_A,WGS,PRJEB19970,SAMEA103910511,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2017-04-28,2018-11-16,ERX1945965,CENTRE FOR GEOGENETICS,2017-04-28T17:01:34Z,2017-03-13T14:18:17Z,public,Illumina HiSeq 2500,BER01_A_SCY2.1_user_ACGCAT,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2017-04-29T00:00:00Z,ERS1599679,SAMEA103910511,ERS1599679,ERS1599679,ERP022066,BEREL,101,7698498760,3650026211,7698,3480,CENTRE FOR GEOGENETICS,
ERR1885468,BER01_A,WGS,PRJEB19970,SAMEA103910511,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2017-04-28,2018-11-16,ERX1945966,CENTRE FOR GEOGENETICS,2017-04-28T17:01:34Z,2017-03-13T14:18:17Z,public,Illumina HiSeq 2500,BER01_A_SCY2.1_user_ACGCAT,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2017-04-29T00:00:00Z,ERS1599679,SAMEA103910511,ERS1599679,ERS1599679,ERP022066,BEREL,101,2174574238,756736955,2174,721,CENTRE FOR GEOGENETICS,
ERR1885469,BER01_A,WGS,PRJEB19970,SAMEA103910511,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2017-04-28,2018-11-16,ERX1945967,CENTRE FOR GEOGENETICS,2017-04-28T17:01:34Z,2017-03-13T14:18:17Z,public,Illumina HiSeq 2500,BER01_A_SCY2.1_user_ACGCAT,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2017-04-29T00:00:00Z,ERS1599679,SAMEA103910511,ERS1599679,ERS1599679,ERP022066,BEREL,101,2563419087,1154810737,2563,1101,CENTRE FOR GEOGENETICS,
ERR1885470,BER01_A,WGS,PRJEB19970,SAMEA103910511,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2017-04-28,2018-11-16,ERX1945968,CENTRE FOR GEOGENETICS,2017-04-28T17:01:34Z,2017-03-13T14:18:17Z,public,Illumina HiSeq 2500,BER01_A_SCY2.1_user_ACGCAT,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2017-04-29T00:00:00Z,ERS1599679,SAMEA103910511,ERS1599679,ERS1599679,ERP022066,BEREL,101,5296354655,2514676525,5296,2398,CENTRE FOR GEOGENETICS,
ERR1885471,BER01_A,WGS,PRJEB19970,SAMEA103910511,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2017-04-28,2018-11-16,ERX1945969,CENTRE FOR GEOGENETICS,2017-04-28T17:01:34Z,2017-03-13T14:18:17Z,public,Illumina HiSeq 2500,BER01_A_SCY2.1_user_ACGCAT,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2017-04-29T00:00:00Z,ERS1599679,SAMEA103910511,ERS1599679,ERS1599679,ERP022066,BEREL,101,5401548781,2490034487,5401,2374,CENTRE FOR GEOGENETICS,
ERR1885472,BER01_A,WGS,PRJEB19970,SAMEA103910511,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2017-04-28,2018-11-16,ERX1945970,CENTRE FOR GEOGENETICS,2017-04-28T17:01:34Z,2017-03-13T14:18:17Z,public,Illumina HiSeq 2500,BER01_A_SCY2.1_user_ACGCAT,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2017-04-29T00:00:00Z,ERS1599679,SAMEA103910511,ERS1599679,ERS1599679,ERP022066,BEREL,101,4641774665,2158829991,4641,2058,CENTRE FOR GEOGENETICS,
ERR1885473,BER01_A,WGS,PRJEB19970,SAMEA103910511,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2017-04-28,2018-11-16,ERX1945971,CENTRE FOR GEOGENETICS,2017-04-28T17:01:34Z,2017-03-13T14:18:17Z,public,Illumina HiSeq 2500,BER01_A_SCY2.1_user_ACGCAT,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2017-04-29T00:00:00Z,ERS1599679,SAMEA103910511,ERS1599679,ERS1599679,ERP022066,BEREL,101,8492677314,4107159563,8492,3916,CENTRE FOR GEOGENETICS,
ERR1885474,BER01_A,WGS,PRJEB19970,SAMEA103910511,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2017-04-28,2018-11-16,ERX1945972,CENTRE FOR GEOGENETICS,2017-04-28T17:01:34Z,2017-03-13T14:18:17Z,public,Illumina HiSeq 2500,BER01_A_SCY2.2_user_TGACGT,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2017-04-29T00:00:00Z,ERS1599679,SAMEA103910511,ERS1599679,ERS1599679,ERP022066,BEREL,101,4605925624,2135947912,4605,2036,CENTRE FOR GEOGENETICS,
ERR1885475,BER01_A,WGS,PRJEB19970,SAMEA103910511,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2017-04-28,2018-11-16,ERX1945973,CENTRE FOR GEOGENETICS,2017-04-28T17:01:34Z,2017-03-13T14:18:17Z,public,Illumina HiSeq 2500,BER01_A_SCY2.2_user_TGACGT,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2017-04-29T00:00:00Z,ERS1599679,SAMEA103910511,ERS1599679,ERS1599679,ERP022066,BEREL,101,14028021300,6431167735,14028,6133,CENTRE FOR GEOGENETICS,
ERR1885476,BER01_A,WGS,PRJEB19970,SAMEA103910511,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2017-04-28,2018-11-16,ERX1945974,CENTRE FOR GEOGENETICS,2017-04-28T17:01:34Z,2017-03-13T14:18:17Z,public,Illumina HiSeq 2500,BER01_A_SCY2.2_user_TGACGT,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2017-04-29T00:00:00Z,ERS1599679,SAMEA103910511,ERS1599679,ERS1599679,ERP022066,BEREL,101,1379846345,620764513,1379,592,CENTRE FOR GEOGENETICS,
ERR1885477,BER01_A,WGS,PRJEB19970,SAMEA103910511,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2017-04-28,2018-11-16,ERX1945975,CENTRE FOR GEOGENETICS,2017-04-28T17:01:34Z,2017-03-13T14:18:17Z,public,Illumina HiSeq 2500,BER01_A_SCY2.2_user_TGACGT,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2017-04-29T00:00:00Z,ERS1599679,SAMEA103910511,ERS1599679,ERS1599679,ERP022066,BEREL,101,2868773700,1363653495,2868,1300,CENTRE FOR GEOGENETICS,
ERR1885478,BER01_A,WGS,PRJEB19970,SAMEA103910511,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2017-04-28,2018-11-16,ERX1945976,CENTRE FOR GEOGENETICS,2017-04-28T17:01:34Z,2017-03-13T14:18:17Z,public,Illumina HiSeq 2500,BER01_A_SCY2.2_user_TGACGT,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2017-04-29T00:00:00Z,ERS1599679,SAMEA103910511,ERS1599679,ERS1599679,ERP022066,BEREL,101,2924879806,1346561001,2924,1284,CENTRE FOR GEOGENETICS,
ERR1885479,BER01_A,WGS,PRJEB19970,SAMEA103910511,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2017-04-28,2018-11-16,ERX1945977,CENTRE FOR GEOGENETICS,2017-04-28T17:01:34Z,2017-03-13T14:18:17Z,public,Illumina HiSeq 2500,BER01_A_SCY2.2_user_TGACGT,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2017-04-29T00:00:00Z,ERS1599679,SAMEA103910511,ERS1599679,ERS1599679,ERP022066,BEREL,101,1837228784,625837871,1837,596,CENTRE FOR GEOGENETICS,
ERR1885480,BER01_A,WGS,PRJEB19970,SAMEA103910511,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2017-04-28,2018-11-16,ERX1945978,CENTRE FOR GEOGENETICS,2017-04-28T17:01:34Z,2017-03-13T14:18:17Z,public,Illumina HiSeq 2500,BER01_A_SCY2.2_user_TGACGT,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2017-04-29T00:00:00Z,ERS1599679,SAMEA103910511,ERS1599679,ERS1599679,ERP022066,BEREL,101,4843764060,2241825933,4843,2137,CENTRE FOR GEOGENETICS,
ERR1885481,BER01_A,WGS,PRJEB19970,SAMEA103910511,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2017-04-28,2018-11-16,ERX1945979,CENTRE FOR GEOGENETICS,2017-04-28T17:01:34Z,2017-03-13T14:18:17Z,public,Illumina HiSeq 2500,BER01_A_SCY2.2_user_TGACGT,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2017-04-29T00:00:00Z,ERS1599679,SAMEA103910511,ERS1599679,ERS1599679,ERP022066,BEREL,101,8868743946,4278582293,8868,4080,CENTRE FOR GEOGENETICS,
ERR1885482,BER02_B,WGS,PRJEB19970,SAMEA103910512,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2017-04-28,2018-11-16,ERX1945980,CENTRE FOR GEOGENETICS,2017-04-28T17:01:34Z,2017-03-13T14:18:17Z,public,Illumina HiSeq 2500,BER02_B_E16.1_user_TGACGT,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2017-04-29T00:00:00Z,ERS1599680,SAMEA103910512,ERS1599680,ERS1599680,ERP022066,BEREL,101,634753488,273728248,634,261,CENTRE FOR GEOGENETICS,
ERR1885483,BER02_B,WGS,PRJEB19970,SAMEA103910512,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2017-04-28,2018-11-16,ERX1945981,CENTRE FOR GEOGENETICS,2017-04-28T17:01:34Z,2017-03-13T14:18:17Z,public,Illumina HiSeq 2500,BER02_B_E16.1_user_TGACGT,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2017-04-29T00:00:00Z,ERS1599680,SAMEA103910512,ERS1599680,ERS1599680,ERP022066,BEREL,101,2914949486,1362006337,2914,1298,CENTRE FOR GEOGENETICS,
ERR1885484,BER02_B,WGS,PRJEB19970,SAMEA103910512,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2017-04-28,2018-11-16,ERX1945982,CENTRE FOR GEOGENETICS,2017-04-28T17:01:34Z,2017-03-13T14:18:17Z,public,Illumina HiSeq 2500,BER02_B_E16.1_user_TGACGT,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2017-04-29T00:00:00Z,ERS1599680,SAMEA103910512,ERS1599680,ERS1599680,ERP022066,BEREL,101,1332775901,458567465,1332,437,CENTRE FOR GEOGENETICS,
ERR1885485,BER02_B,WGS,PRJEB19970,SAMEA103910512,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2017-04-28,2018-11-16,ERX1945983,CENTRE FOR GEOGENETICS,2017-04-28T17:01:34Z,2017-03-13T14:18:17Z,public,Illumina HiSeq 2500,BER02_B_E16.2_user_TGTCTG,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2017-04-29T00:00:00Z,ERS1599680,SAMEA103910512,ERS1599680,ERS1599680,ERP022066,BEREL,101,2395325999,826638936,2395,788,CENTRE FOR GEOGENETICS,
ERR1885486,BER02_B,WGS,PRJEB19970,SAMEA103910512,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2017-04-28,2018-11-16,ERX1945984,CENTRE FOR GEOGENETICS,2017-04-28T17:01:34Z,2017-03-13T14:18:17Z,public,Illumina HiSeq 2500,BER02_B_E9.Dab2nd_NOuser_TGATCG,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2017-04-29T00:00:00Z,ERS1599680,SAMEA103910512,ERS1599680,ERS1599680,ERP022066,BEREL,94,782863302,471259277,782,449,CENTRE FOR GEOGENETICS,
ERR1885487,BER02_B,WGS,PRJEB19970,SAMEA103910512,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2017-04-28,2018-11-16,ERX1945985,CENTRE FOR GEOGENETICS,2017-04-28T17:01:34Z,2017-03-13T14:18:17Z,public,Illumina HiSeq 2500,BER02_B_SCY2.1_user_CGTATA,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2017-04-29T00:00:00Z,ERS1599680,SAMEA103910512,ERS1599680,ERS1599680,ERP022066,BEREL,101,8088460871,3691603460,8088,3520,CENTRE FOR GEOGENETICS,
ERR1885488,BER02_B,WGS,PRJEB19970,SAMEA103910512,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2017-04-28,2018-11-16,ERX1945986,CENTRE FOR GEOGENETICS,2017-04-28T17:01:34Z,2017-03-13T14:18:17Z,public,Illumina HiSeq 2500,BER02_B_SCY2.1_user_CGTATA,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2017-04-29T00:00:00Z,ERS1599680,SAMEA103910512,ERS1599680,ERS1599680,ERP022066,BEREL,101,14776124866,7327217751,14776,6987,CENTRE FOR GEOGENETICS,
ERR1885489,BER02_B,WGS,PRJEB19970,SAMEA103910512,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2017-04-28,2018-11-16,ERX1945987,CENTRE FOR GEOGENETICS,2017-04-28T17:01:34Z,2017-03-13T14:18:17Z,public,Illumina HiSeq 2500,BER02_B_SCY2.1_user_CGTATA,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2017-04-29T00:00:00Z,ERS1599680,SAMEA103910512,ERS1599680,ERS1599680,ERP022066,BEREL,101,1756645025,753522588,1756,718,CENTRE FOR GEOGENETICS,
