BioProject,data_type,species,sub_group,era,era_guess,age,comments,ignore
PRJEB5942,DATASTORE_filetype_ss,Organism,Breed_Info,modern,,,,
PRJEB7537,DATASTORE filetype,Organism,,,,,???,
PRJEB9139,DATASTORE_filetype_ss,Organism,Breed_Info,modern,,,,
PRJEB9267,DATASTORE_filetype_ss,Organism,Breed_Info,modern,,,,
PRJEB9269,DATASTORE_filetype_ss,Organism,Breed_Info,modern,,,,
PRJEB9799,DATASTORE_filetype_ss,Organism,title,modern,,,appears modern,
PRJEB10098,DATASTORE filetype,Organism,Breed_Info,modern,,,TableS1.final holds some information,
PRJEB10532,DATASTORE filetype,Organism,Description,ancient,,,ancient in paper,
PRJEB10854,DATASTORE_filetype_ss,Organism,title,both,,Age,Region of Origin for location,
PRJEB12979,DATASTORE_filetype_ss,Organism,Breed_Info,modern,,,,
PRJEB13863,DATASTORE_filetype_ss,Organism,title,modern,,,,
PRJEB13983,DATASTORE filetype,Organism,,,ancient,,title gives some info but not all,
PRJEB14651,DATASTORE_filetype_ss,Organism,Breed_Info,modern,,,,
PRJEB14779,DATASTORE_filetype_ss,Organism,title,modern,,,,
PRJEB15516,DATASTORE filetype,Organism,,ancient,,,check paper for details,
PRJEB19970,DATASTORE_filetype_ss,Organism,,,,,"title and description, check paper",
PRJEB20000,DATASTORE filetype,Organism,,,,,title and alias possibly check paper,
PRJEB22390,DATASTORE filetype,Organism,,,ancient,,"alias and title, appears ancient",
PRJEB28294,DATASTORE filetype,Organism,Alias,ancient,,,"alias holds some clues, check supplementary",
PRJEB29661,DATASTORE filetype,Organism,Alias,ancient,,,"alias holds some clues, check supplementary",
PRJEB31613,DATASTORE filetype,Organism,Site,ancient,,Age (years ago) ,supplementary holds lots of info – joined,
PRJNA168142,DATASTORE_filetype_ss,Organism,Breed_Info,modern,,,"Library Name some, but not much",
PRJNA169102,DATASTORE_filetype_ss,Organism,Breed_Info,modern,,,,
PRJNA184688,DATASTORE_filetype_ss,Organism,Breed_Info,modern,,,,
PRJNA230019,DATASTORE_filetype_ss,Organism,Breed,modern,,,additional locations for one sample,
PRJNA233529,DATASTORE_filetype_ss,Organism,Breed_Info,modern,,,requires join,
PRJNA233533,DATASTORE_filetype_ss,Organism,Breed_Info,modern,,,,
PRJNA246445,DATASTORE_filetype_ss,Organism,Breed,modern,,,,
PRJNA273402,DATASTORE_filetype_ss,Organism,Breed,modern,,,,
PRJNA291776,DATASTORE_filetype_ss,Organism,Breed,modern,,,,
PRJNA306677,DATASTORE_filetype_ss,Organism,Breed,modern,,,,
PRJNA357976,DATASTORE_filetype_ss,Organism,Breed,modern,,,,
SRR488214,DATASTORE_filetype_ss,Organism,,,,,,
PRJNA205517,DATASTORE filetype,Organism,,,,Age,many helpful fields,
PRJNA225855,DATASTORE filetype,Organism,,,ancient,,"appears ancient, check paper",
SRP012260,DATASTORE_filetype_ss,Organism,Breed_Info,modern,,,,y
