"f4structure","Target","mixpop","f4","stderr","zscore"
"(Przewalski.BENSON;Oldenburger.Marwari)","BENSON","Oldenburger",-0.013,0.005,-2.723
"(Przewalski.BENSON;Standardbred.Marwari)","BENSON","Standardbred",-0.011,0.004,-2.713
"(Przewalski.BENSON;Standardbred.Mongolian)","BENSON","Standardbred",-0.007,0.003,-2.643
"(Przewalski.BENSON;Oldenburger.Mongolian)","BENSON","Oldenburger",-0.009,0.004,-2.453
"(Przewalski.BENSON;Oldenburger.Tennessee Walking)","BENSON","Oldenburger",-0.009,0.004,-2.384
"(Przewalski.BENSON;Thoroughbred.Marwari)","BENSON","Thoroughbred",-0.01,0.004,-2.306
"(Przewalski.BENSON;Franches-Montagnes.Lipizzan)","BENSON","Franches-Montagnes",-0.004,0.002,-2.263
"(Przewalski.BENSON;Quarter.Marwari)","BENSON","Quarter",-0.009,0.004,-2.197
"(Przewalski.BENSON;Sorraia.Marwari)","BENSON","Sorraia",-0.01,0.005,-2.168
"(Przewalski.BENSON;Trakehner.Marwari)","BENSON","Trakehner",-0.01,0.004,-2.163
"(Przewalski.BENSON;Swiss Warmblood.Lipizzan)","BENSON","Swiss Warmblood",-0.006,0.003,-2.134
"(Przewalski.BENSON;Oldenburger.Mangalarga Marchador)","BENSON","Oldenburger",-0.009,0.004,-2.123
"(Przewalski.BENSON;Standardbred.American Miniature)","BENSON","Standardbred",-0.006,0.003,-2.024
"(Przewalski.BENSON;Franches-Montagnes.Shetland)","BENSON","Franches-Montagnes",-0.005,0.002,-2.006
