"A","B","C","D","f4","stderr","zscore"
"Przewalski","BENSON","Oldenburger","Marwari",-0.013,0.005,-2.723
"Przewalski","BENSON","Standardbred","Marwari",-0.011,0.004,-2.713
"Przewalski","BENSON","Standardbred","Mongolian",-0.007,0.003,-2.643
"Przewalski","BENSON","Oldenburger","Mongolian",-0.009,0.004,-2.453
"Przewalski","BENSON","Oldenburger","Tennessee Walking",-0.009,0.004,-2.384
"Przewalski","BENSON","Thoroughbred","Marwari",-0.01,0.004,-2.306
"Przewalski","BENSON","Franches-Montagnes","Lipizzan",-0.004,0.002,-2.263
"Przewalski","BENSON","Quarter","Marwari",-0.009,0.004,-2.197
"Przewalski","BENSON","Sorraia","Marwari",-0.01,0.005,-2.168
"Przewalski","BENSON","Trakehner","Marwari",-0.01,0.004,-2.163
"Przewalski","BENSON","Swiss Warmblood","Lipizzan",-0.006,0.003,-2.134
"Przewalski","BENSON","Oldenburger","Mangalarga Marchador",-0.009,0.004,-2.123
"Przewalski","BENSON","Standardbred","American Miniature",-0.006,0.003,-2.024
"Przewalski","BENSON","Franches-Montagnes","Shetland",-0.005,0.002,-2.006
"Przewalski","BENSON","Saxon-Thuringian Heavy Warmblood","Standardbred",0.007,0.004,2.036
"Przewalski","BENSON","Lipizzan","Trakehner",0.006,0.003,2.079
"Przewalski","BENSON","Saxon-Thuringian Heavy Warmblood","Oldenburger",0.009,0.004,2.086
"Przewalski","BENSON","Connemara Pony","Oldenburger",0.007,0.003,2.102
"Przewalski","BENSON","German Warmblood","Oldenburger",0.005,0.003,2.132
"Przewalski","BENSON","Shetland","Thoroughbred",0.007,0.003,2.257
"Przewalski","BENSON","German Warmblood","Standardbred",0.004,0.002,2.295
"Przewalski","BENSON","Connemara Pony","Standardbred",0.005,0.002,2.329
"Przewalski","BENSON","Mangalarga Marchador","Standardbred",0.007,0.003,2.361
"Przewalski","BENSON","Lipizzan","Thoroughbred",0.007,0.003,2.537
"Przewalski","BENSON","Shetland","Sorraia",0.007,0.003,2.552
"Przewalski","BENSON","Lipizzan","Sorraia",0.007,0.003,2.615
"Przewalski","BENSON","Shetland","Standardbred",0.008,0.003,2.747
"Przewalski","BENSON","Shetland","Oldenburger",0.01,0.004,2.771
"Przewalski","BENSON","Lipizzan","Oldenburger",0.009,0.003,2.938
"Przewalski","BENSON","Lipizzan","Standardbred",0.008,0.003,3.083
