"f4structure","Target","mixpop","f4","stderr","zscore"
"(Przewalski.BENSON;Lipizzan.Standardbred)","BENSON","Standardbred",0.008,0.003,3.083
"(Przewalski.BENSON;Lipizzan.Oldenburger)","BENSON","Oldenburger",0.009,0.003,2.938
"(Przewalski.BENSON;Shetland.Oldenburger)","BENSON","Oldenburger",0.01,0.004,2.771
"(Przewalski.BENSON;Shetland.Standardbred)","BENSON","Standardbred",0.008,0.003,2.747
"(Przewalski.BENSON;Lipizzan.Sorraia)","BENSON","Sorraia",0.007,0.003,2.615
"(Przewalski.BENSON;Shetland.Sorraia)","BENSON","Sorraia",0.007,0.003,2.552
"(Przewalski.BENSON;Lipizzan.Thoroughbred)","BENSON","Thoroughbred",0.007,0.003,2.537
"(Przewalski.BENSON;Mangalarga Marchador.Standardbred)","BENSON","Standardbred",0.007,0.003,2.361
"(Przewalski.BENSON;Connemara Pony.Standardbred)","BENSON","Standardbred",0.005,0.002,2.329
"(Przewalski.BENSON;German Warmblood.Standardbred)","BENSON","Standardbred",0.004,0.002,2.295
"(Przewalski.BENSON;Shetland.Thoroughbred)","BENSON","Thoroughbred",0.007,0.003,2.257
"(Przewalski.BENSON;German Warmblood.Oldenburger)","BENSON","Oldenburger",0.005,0.003,2.132
"(Przewalski.BENSON;Connemara Pony.Oldenburger)","BENSON","Oldenburger",0.007,0.003,2.102
"(Przewalski.BENSON;Saxon-Thuringian Heavy Warmblood.Oldenburger)","BENSON","Oldenburger",0.009,0.004,2.086
"(Przewalski.BENSON;Lipizzan.Trakehner)","BENSON","Trakehner",0.006,0.003,2.079
"(Przewalski.BENSON;Saxon-Thuringian Heavy Warmblood.Standardbred)","BENSON","Standardbred",0.007,0.004,2.036
