kingdom,phylum,class,order,family,genus,species,rank,count,taxid,rank_count,rel_abundance
Viruses,Negarnaviricota,Ellioviricetes,Bunyavirales,Peribunyaviridae,Orthobunyavirus,Simbu orthobunyavirus,species,1,35306,29615474,3.37661318539085e-08
Viruses,Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,Roseolovirus,Human betaherpesvirus 6B,species,2,32604,29615474,6.75322637078171e-08
Viruses,Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,Roseolovirus,Human betaherpesvirus 7,species,643,10372,29615474,2.17116227820632e-05
Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Hpunavirus,Haemophilus virus HP1,species,28,10690,29615474,9.45451691909439e-07
Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Simpcentumvirus,Stenotrophomonas virus Smp131,species,1,1168563,29615474,3.37661318539085e-08
Viruses,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,Cepunavirus,Streptococcus virus Cp1,species,2,10747,29615474,6.75322637078171e-08
Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Brussowvirus,Streptococcus phage TP-778L,species,7,1385385,29615474,2.3636292297736e-07
Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Brussowvirus,Streptococcus phage TP-J34,species,4,73422,29615474,1.35064527415634e-07
Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Brussowvirus,Streptococcus virus 858,species,6,459845,29615474,2.02596791123451e-07
Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Brussowvirus,Streptococcus virus ALQ132,species,2,682370,29615474,6.75322637078171e-08
Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Brussowvirus,Streptococcus virus O1205,species,49,85154,29615474,1.65454046084152e-06
Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Limdunavirus,Leuconostoc virus LN03,species,2,1262515,29615474,6.75322637078171e-08
Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Moineauvirus,Streptococcus phage YMC-2011,species,10633,1051631,29615474,0.000359035280002609
Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Moineauvirus,Streptococcus virus 7201,species,118,112023,29615474,3.98440355876121e-06
Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Moineauvirus,Streptococcus virus DT1,species,24,90410,29615474,8.10387164493805e-07
Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Moineauvirus,Streptococcus virus phiAbc2,species,643,633135,29615474,2.17116227820632e-05
Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Moineauvirus,Streptococcus virus Sfi19,species,117,72638,29615474,3.9506374269073e-06
Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Moineauvirus,Streptococcus virus Sfi21,species,692,64186,29615474,2.33661632429047e-05
Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Nonanavirus,Proteus phage VB_PmiS-Isfahan,species,6711,1969841,29615474,0.00022660451087158
Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Pahexavirus,Propionibacterium phage Enoki,species,1,1654780,29615474,3.37661318539085e-08
Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Pahexavirus,Propionibacterium virus ATCC29399BC,species,1,1229794,29615474,3.37661318539085e-08
Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Pahexavirus,Propionibacterium virus Attacne,species,2,1655012,29615474,6.75322637078171e-08
Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Pahexavirus,Propionibacterium virus Keiki,species,1,1655013,29615474,3.37661318539085e-08
Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Pahexavirus,Propionibacterium virus P1001,species,1,1229791,29615474,3.37661318539085e-08
