acc,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE_filetype_ss,DATASTORE_provider_ss,DATASTORE_region_ss,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,MBases,MBytes,Organism,Platform,ReleaseDate,sample_acc,Sample Name,SRA Study
SRR571146,RNA-Seq,49,935807880,PRJNA169102,SAMN01178027,594885580,SEOUL NATIONAL UNIVERSITY VETERINARY MEDICINE,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX187163,Illumina HiSeq 2000,,SINGLE,size fractionation,TRANSCRIPTOMIC,935,567,Equus caballus,ILLUMINA,2015-07-22T00:00:00Z,SRS363405,LIVER_2S,SRP013860
SRR516118,WGS,198,55948761990,PRJNA169102,SAMN01057172,36982907747,SEOUL NATIONAL UNIVERSITY,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX156082,Illumina HiSeq 2000,P06074M1,PAIRED,RANDOM,GENOMIC,55948,35269,Equus caballus,ILLUMINA,2013-07-02T00:00:00Z,SRS346579,P06074M1,SRP013860
SRR526907,WGS,198,5007239622,PRJNA169102,SAMN01057170,3310371910,SEOUL NATIONAL UNIVERSITY,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX155594,Illumina HiSeq 2000,TG1117D1053,PAIRED,RANDOM,GENOMIC,5007,3157,Equus caballus,ILLUMINA,2013-07-02T00:00:00Z,SRS346577,TG1117D1053,SRP013860
SRR526908,WGS,198,4042543824,PRJNA169102,SAMN01057170,2709619178,SEOUL NATIONAL UNIVERSITY,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX155594,Illumina HiSeq 2000,TG1117D1053,PAIRED,RANDOM,GENOMIC,4042,2584,Equus caballus,ILLUMINA,2013-07-02T00:00:00Z,SRS346577,TG1117D1053,SRP013860
SRR526909,WGS,198,4717164474,PRJNA169102,SAMN01057170,3154888555,SEOUL NATIONAL UNIVERSITY,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX155594,Illumina HiSeq 2000,TG1117D1053,PAIRED,RANDOM,GENOMIC,4717,3008,Equus caballus,ILLUMINA,2013-07-02T00:00:00Z,SRS346577,TG1117D1053,SRP013860
SRR527519,WGS,198,5155644582,PRJNA169102,SAMN01057173,3370053142,SEOUL NATIONAL UNIVERSITY,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX156083,Illumina HiSeq 2000,P06115M1,PAIRED,RANDOM,GENOMIC,5155,3213,Equus caballus,ILLUMINA,2013-07-02T00:00:00Z,SRS346580,P06115M1,SRP013860
SRR527520,WGS,198,4952870010,PRJNA169102,SAMN01057173,3247090046,SEOUL NATIONAL UNIVERSITY,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX156083,Illumina HiSeq 2000,P06115M1,PAIRED,RANDOM,GENOMIC,4952,3096,Equus caballus,ILLUMINA,2013-07-02T00:00:00Z,SRS346580,P06115M1,SRP013860
SRR527521,WGS,198,4377493494,PRJNA169102,SAMN01057173,2879071366,SEOUL NATIONAL UNIVERSITY,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX156083,Illumina HiSeq 2000,P06115M1,PAIRED,RANDOM,GENOMIC,4377,2745,Equus caballus,ILLUMINA,2013-07-02T00:00:00Z,SRS346580,P06115M1,SRP013860
SRR527527,WGS,198,5781239640,PRJNA169102,SAMN01057173,3775700077,SEOUL NATIONAL UNIVERSITY,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX156083,Illumina HiSeq 2000,P06115M1,PAIRED,RANDOM,GENOMIC,5781,3600,Equus caballus,ILLUMINA,2013-07-02T00:00:00Z,SRS346580,P06115M1,SRP013860
SRR527528,WGS,198,4776330834,PRJNA169102,SAMN01057173,3145402992,SEOUL NATIONAL UNIVERSITY,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX156083,Illumina HiSeq 2000,P06115M1,PAIRED,RANDOM,GENOMIC,4776,2999,Equus caballus,ILLUMINA,2013-07-02T00:00:00Z,SRS346580,P06115M1,SRP013860
SRR571147,RNA-Seq,49,674879058,PRJNA169102,SAMN01178028,486294616,SEOUL NATIONAL UNIVERSITY VETERINARY MEDICINE,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX187164,Illumina HiSeq 2000,,SINGLE,size fractionation,TRANSCRIPTOMIC,674,463,Equus caballus,ILLUMINA,2015-07-22T00:00:00Z,SRS363406,LIVER_3S,SRP013860
SRR516104,WGS,198,2100549726,PRJNA169102,SAMN01057170,1409183944,SEOUL NATIONAL UNIVERSITY,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX155594,Illumina HiSeq 2000,TG1117D1053,PAIRED,RANDOM,GENOMIC,2100,1343,Equus caballus,ILLUMINA,2013-07-02T00:00:00Z,SRS346577,TG1117D1053,SRP013860
SRR527799,WGS,198,1711654758,PRJNA169102,SAMN01057173,1149841535,SEOUL NATIONAL UNIVERSITY,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX156083,Illumina HiSeq 2000,P06115M1,PAIRED,RANDOM,GENOMIC,1711,1096,Equus caballus,ILLUMINA,2013-07-02T00:00:00Z,SRS346580,P06115M1,SRP013860
SRR527800,WGS,198,4979487546,PRJNA169102,SAMN01057173,3299779344,SEOUL NATIONAL UNIVERSITY,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX156083,Illumina HiSeq 2000,P06115M1,PAIRED,RANDOM,GENOMIC,4979,3146,Equus caballus,ILLUMINA,2013-07-02T00:00:00Z,SRS346580,P06115M1,SRP013860
