# Assembly name:  EquCab2.0
# Organism name:  Equus caballus (horse)
# Infraspecific name:  breed=thoroughbred
# Isolate:  Twilight
# Sex:  female
# Taxid:          9796
# BioSample:      SAMN02953672
# BioProject:     PRJNA18661
# Submitter:      The Genome Assembly Team
# Date:           2007-10-29
# Synonyms:       equCab2	
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    AAWR02
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_000002305.1
# RefSeq assembly accession: GCF_000002305.2
# RefSeq assembly and GenBank assemblies identical: no
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000000165.1	GCF_000000165.1	Primary Assembly
## 	GCF_000215765.1	non-nuclear
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
1	assembled-molecule	1	Chromosome	CM000377.2	=	NC_009144.2	Primary Assembly	185838109	chr1
2	assembled-molecule	2	Chromosome	CM000378.2	=	NC_009145.2	Primary Assembly	120857687	chr2
3	assembled-molecule	3	Chromosome	CM000379.2	=	NC_009146.2	Primary Assembly	119479920	chr3
4	assembled-molecule	4	Chromosome	CM000380.2	=	NC_009147.2	Primary Assembly	108569075	chr4
5	assembled-molecule	5	Chromosome	CM000381.2	=	NC_009148.2	Primary Assembly	99680356	chr5
6	assembled-molecule	6	Chromosome	CM000382.2	=	NC_009149.2	Primary Assembly	84719076	chr6
7	assembled-molecule	7	Chromosome	CM000383.2	=	NC_009150.2	Primary Assembly	98542428	chr7
8	assembled-molecule	8	Chromosome	CM000384.2	=	NC_009151.2	Primary Assembly	94057673	chr8
9	assembled-molecule	9	Chromosome	CM000385.2	=	NC_009152.2	Primary Assembly	83561422	chr9
10	assembled-molecule	10	Chromosome	CM000386.2	=	NC_009153.2	Primary Assembly	83980604	chr10
11	assembled-molecule	11	Chromosome	CM000387.2	=	NC_009154.2	Primary Assembly	61308211	chr11
12	assembled-molecule	12	Chromosome	CM000388.2	=	NC_009155.2	Primary Assembly	33091231	chr12
13	assembled-molecule	13	Chromosome	CM000389.2	=	NC_009156.2	Primary Assembly	42578167	chr13
14	assembled-molecule	14	Chromosome	CM000390.2	=	NC_009157.2	Primary Assembly	93904894	chr14
15	assembled-molecule	15	Chromosome	CM000391.2	=	NC_009158.2	Primary Assembly	91571448	chr15
16	assembled-molecule	16	Chromosome	CM000392.2	=	NC_009159.2	Primary Assembly	87365405	chr16
17	assembled-molecule	17	Chromosome	CM000393.2	=	NC_009160.2	Primary Assembly	80757907	chr17
18	assembled-molecule	18	Chromosome	CM000394.2	=	NC_009161.2	Primary Assembly	82527541	chr18
19	assembled-molecule	19	Chromosome	CM000395.2	=	NC_009162.2	Primary Assembly	59975221	chr19
20	assembled-molecule	20	Chromosome	CM000396.2	=	NC_009163.2	Primary Assembly	64166202	chr20
21	assembled-molecule	21	Chromosome	CM000397.2	=	NC_009164.2	Primary Assembly	57723302	chr21
22	assembled-molecule	22	Chromosome	CM000398.2	=	NC_009165.2	Primary Assembly	49946797	chr22
23	assembled-molecule	23	Chromosome	CM000399.2	=	NC_009166.2	Primary Assembly	55726280	chr23
24	assembled-molecule	24	Chromosome	CM000400.2	=	NC_009167.2	Primary Assembly	46749900	chr24
25	assembled-molecule	25	Chromosome	CM000401.2	=	NC_009168.2	Primary Assembly	39536964	chr25
26	assembled-molecule	26	Chromosome	CM000402.2	=	NC_009169.2	Primary Assembly	41866177	chr26
27	assembled-molecule	27	Chromosome	CM000403.2	=	NC_009170.2	Primary Assembly	39960074	chr27
28	assembled-molecule	28	Chromosome	CM000404.2	=	NC_009171.2	Primary Assembly	46177339	chr28
29	assembled-molecule	29	Chromosome	CM000405.2	=	NC_009172.2	Primary Assembly	33672925	chr29
30	assembled-molecule	30	Chromosome	CM000406.2	=	NC_009173.2	Primary Assembly	30062385	chr30
31	assembled-molecule	31	Chromosome	CM000407.2	=	NC_009174.2	Primary Assembly	24984650	chr31
X	assembled-molecule	X	Chromosome	CM000408.2	=	NC_009175.2	Primary Assembly	124114077	chrX
